"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","4.343215","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","5.102678","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","24.648705","0","25"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","12.314827","0","9"
"/Game/Mesh/AirPodsMesh/Material_003.Material_003","0","3","3","1","2.357523","0","3"
"/Game/Mesh/AirPodsMesh/Material_010.Material_010","0","3","3","1","2.236457","0","3"
"/Game/Mesh/AirPodsMesh/Material_002.Material_002","0","3","3","1","2.593569","0","3"
"/Game/Mesh/AirPodsMesh/metal.metal","0","3","3","1","2.728189","0","3"
"/Game/Mesh/AirPodsMesh/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Mesh/AirPodsMesh/Material_004.Material_004","0","3","3","1","2.601163","0","3"
"/Game/Mesh/AirPodsMesh/hole.hole","0","3","3","1","2.714618","0","3"
"/Game/Mesh/NewLid/Material_002.Material_002","0","3","3","1","0.000000","0","3"
"/Game/Mesh/NewLid/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","2.445578","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.213748","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","1026.759399","0","88"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","4.602372","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","32.803192","0","33"
